1227,1319,1434,1440,1477,1504,1590,1605,1717,1722,1723,1789,1802,2015,2049,2059,2101,2106,2201,2204,2206,2231,2324,2327,2344,2347,2352,2353,2356,2360,2362,2376,2377,2379,2385,2392,2448,2449,2451,2501,2542,2603,2606,2609,2610,2615,2618,2707,2723,2809,2812,2823,2834,2845,2888,2903,2915,3034,3037,3044,3189,3231,3673,3682,3702,4958,5264,5522,5871,6005,6176,6239,8150,8454,9907,9910,9914,9917,9921,9933,9945,1101,1102,1216,1301,1303,1326,1402,2002,2105,2207,2227,2301,2303,2308,2311,2317,2325,2330,2354,2357,2382,2395,2408,2409,2412,2454,2474,2498,2801,2880,2881,2882,2883,2884,2885,2886,2887,2890,2891,2892,2912,3008,3045,3481,4904,4938,5880,6505,9904
68.6,37.5,32.15,17.6,177.0,30.55,267.5,9.73,31.5,55.1,154.5,52.1,23.65,38.7,267.0,453.5,33.3,64.2,46.35,27.45,27.15,319.0,23.5,51.1,10.1,46.4,14.75,20.6,23.6,80.6,48.1,39.05,34.35,102.0,87.5,56.5,58.0,26.9,103.5,16.8,65.6,23.35,49.4,17.0,16.25,32.95,24.4,324.0,176.5,34.5,10.4,26.35,9.28,10.5,8.9,27.55,68.2,196.5,23.8,68.3,104.5,29.5,218.0,15.3,38.65,90.1,184.0,37.1,76.9,10.6,98.0,53.0,43.75,307.0,20.8,112.5,221.0,81.8,277.0,51.3,49.0,42.25,38.7,52.3,76.3,65.2,69.4,31.9,26.5,76.5,460.5,295.0,39.1,15.5,195.5,39.6,87.8,51.3,145.5,85.7,335.0,80.0,237.0,79.0,17.6,95.3,494.0,281.5,157.0,18.3,17.8,51.1,46.5,10.7,19.05,15.6,24.0,12.95,13.0,20.6,18.65,240.0,2765.0,107.0,15.6,77.1,79.1,16.25,67.5,42.5
68.6,37.5,32.15,17.6,175.5,30.63064516129032,267.5,9.73,31.5,55.1,154.5,52.1,23.65,38.7,267.0,453.5,33.3,64.11666666666666,46.35,27.45,27.15,319.0,23.47183098591549,51.14,10.105633802816902,46.4,14.75,20.599397590361445,23.566981132075483,80.6,48.1,39.059090909090905,34.25833333333333,101.8,87.5,56.49090909090909,58.06176470588235,26.958974358974363,103.0,16.8,65.6,23.35,49.4,16.99951923076923,16.297969052224374,32.99230769230769,24.45,324.0,177.0,34.5,10.4,26.399999999999995,9.27,10.5,8.9,27.55,68.25,195.3,23.7,68.3,104.5,29.49,217.70833333333331,15.3,38.55,90.8,184.75,37.05,76.7063492063492,10.6,98.01111111111112,52.975,43.8,307.0,20.8,112.5,221.0,81.8,277.0,51.1,49.0,42.23409090909092,38.6,52.3,76.3,65.15,69.4,31.85,26.4875,76.51111111111112,460.5,295.0,39.09090909090909,15.554044117647056,195.33333333333331,39.65,87.83610108303249,51.2,145.0,85.72142857142856,334.63157894736844,79.86666666666667,236.875,79.05714285714284,17.62681992337165,95.275,494.0,281.3,157.10344827586206,18.25,17.8,50.975,46.48,10.7,19.045833333333334,15.55,24.008000000000006,12.95,13.0,20.55,18.65,240.0,2757.5,107.0,15.608944281524925,77.1,79.13793103448276,16.25,67.4159090909091,42.5
68.5,37.75,32.1,17.53,175.5,30.5875,267.5,9.74,31.5,55.1,154.5,52.1,23.6,38.6,267.35714285714283,453.5,33.2125,64.1,46.35,27.45,27.15,318.0,23.447727272727274,51.15000000000001,10.1125,46.4,14.75,20.6,23.57163120567376,80.65,48.02307692307693,39.15,34.16153846153846,101.5,87.5,56.36999999999999,58.17999999999999,26.9,103.0,16.8,65.6,23.352040816326532,49.23333333333333,17.099737532808398,16.334037558685445,33.15,24.495853658536586,324.0,176.0,34.428947368421056,10.4,26.35,9.2644,10.55,8.92,27.55,68.42916666666667,195.45,23.62727272727273,68.34166666666667,104.56,29.40340909090909,217.4882352941177,15.36875,38.373333333333335,90.625,184.0,37.03,76.575,10.6,98.1,52.85,43.89090909090909,306.0,20.719047619047625,114.0,220.83333333333331,81.8,277.0,51.0,49.0,42.2,38.642857142857146,52.3,76.2,65.2,69.4,31.808333333333334,26.475,76.53888888888889,460.5,295.0,39.1,15.5789156626506,194.98148148148152,39.63148148148147,87.8622950819672,51.17826086956522,145.26041666666666,85.7909090909091,334.0,79.74285714285716,238.0,79.47037037037036,17.575477707006367,95.3,494.2272727272728,281.1333333333333,157.5,18.3,17.71875,51.08333333333334,46.39999999999999,10.666436464088397,19.05,15.571212121212122,24.027777777777782,12.929285714285712,13.033333333333333,20.55263157894737,18.65,240.0,2750.0,107.0,15.6785,77.03333333333333,79.07567567567568,16.2,67.4,42.5
68.5,37.5,32.15,17.6,175.5,30.63064516129032,267.5,9.73,31.5,55.1,154.5,52.8,23.65,38.7,267.58823529411757,453.5,33.3,64.0,46.35,27.441666666666666,27.15,318.0,23.415,51.14,10.15,46.55,14.75,20.60089285714286,23.66115506329114,80.6,48.0,39.15,34.19375,101.5,87.5,56.4,58.20000000000001,26.958974358974363,103.5,16.8,65.58333333333333,23.319607843137256,49.4,17.097286821705428,16.30211267605634,33.15,24.505859375,324.0,177.0,34.345555555555556,10.4,26.350000000000005,9.27,10.5,8.9,27.65,68.63571428571429,195.33333333333331,23.6,68.46666666666667,105.0,29.47083333333333,217.5,15.266666666666667,38.17096774193549,90.375,184.75,37.0,76.35,10.644052863436123,98.1,52.73333333333333,43.896428571428565,305.375,20.661538461538466,113.0909090909091,220.5,81.8,277.0,51.1,49.03333333333333,42.23409090909092,38.6,52.31818181818182,76.19999999999997,65.2,69.3,31.85,26.455,76.41111111111111,460.5,295.0,39.15000000000001,15.597391304347825,194.5,39.69857142857143,87.87443609022556,51.19230769230769,145.0235849056604,85.76363636363638,332.8888888888889,79.86666666666667,236.875,79.498,17.565753424657533,95.21666666666664,494.8684210526316,280.60869565217394,157.46376811594203,18.25,17.8,51.00555555555556,46.41818181818182,10.65,19.045833333333334,15.55,24.008000000000006,12.988461538461538,13.002173913043478,20.550000000000004,18.65,240.0,2756.666666666666,107.0,15.699999999999998,77.10000000000002,79.1,16.200000000000006,67.39791666666667,42.5
68.5,37.75,32.1,17.53,176.0714285714286,30.5875,267.5,9.73,31.5,55.025,154.5,52.1,23.6,38.6,268.0,453.5,33.15,64.1,46.35,27.45,27.15,317.9375,23.4,51.29999999999999,10.15,46.38333333333333,14.8,20.632,23.778441907320353,80.65,48.02307692307693,39.15,34.2,101.5,87.525,56.38181818181818,58.35,26.9,103.25,16.8,65.6,23.31111111111111,49.23333333333333,17.1,16.226190476190474,33.19090909090909,24.58507588532884,324.0,176.0,34.230000000000004,10.45,26.35,9.28,10.55,8.92,27.55,68.84222222222222,195.5,23.657142857142855,68.35454545454546,104.94,29.435,218.16504854368927,15.36875,38.275,90.25,184.0,37.0,76.57142857142857,10.600892857142854,98.025,52.6,43.9,305.0,20.6,112.5,220.83333333333331,81.9,277.0,51.0,49.06388888888889,42.25,38.642857142857146,52.24500000000001,76.28333333333332,65.4,69.4,31.808333333333334,26.45,76.5,460.5,295.0,39.1,15.581944444444444,194.37209302325581,39.71696113074205,87.9,51.11219512195122,145.0,85.621568627451,332.5,79.74285714285716,237.0,79.6,17.5765,95.3,495.95,280.0,157.11111111111111,18.25,17.7,51.04444444444446,46.45,10.687414965986395,19.05,15.571212121212122,24.027777777777782,12.95,13.047619047619047,20.583333333333336,18.65,240.25,2762.857142857143,107.0,15.657093425605538,77.03333333333333,79.10989010989009,16.2,67.28235294117648,42.5
68.5,37.5,32.15,17.6,175.5,30.616666666666664,267.5,9.7275,31.5,55.1,154.5,52.8,23.6,38.7,268.2142857142857,452.7,33.3,64.2,46.35,27.441666666666666,27.15,319.0,23.399999999999995,51.1,10.15,46.35,14.8,20.65,23.8,80.7,48.0,39.1,34.19375,101.0909090909091,88.0,56.4,58.46666666666667,26.90454545454545,103.5,16.8,65.6,23.305555555555557,49.4,17.05,16.2,33.171052631578945,24.689890710382514,324.0,177.0,34.2,10.45,26.35,9.2892,10.5,8.9,27.65,68.84,195.9375,23.649999999999995,68.35185185185185,104.98529411764706,29.390540540540538,218.25909090909093,15.300000000000002,38.43571428571429,90.40000000000002,184.5,37.0,76.8,10.644811320754716,97.92926829268292,52.73333333333333,43.75,304.875,20.5,112.5,220.5,81.8,277.0,51.1,49.03333333333333,42.24821428571429,38.6,52.39999999999999,76.3,65.35,69.3,31.85,26.5,76.5,460.5,295.0,39.15000000000001,15.599208443271769,194.0,39.687234042553186,87.8857843137255,51.12682926829268,145.0,85.63333333333333,332.8888888888889,79.86666666666667,236.875,79.82083333333334,17.592307692307692,95.21666666666664,495.75,279.5833333333333,156.90178571428572,18.25,17.725,51.0,46.43125,10.664423076923075,19.045833333333334,15.55,24.0,12.95,13.05,20.56071428571429,18.65,240.0,2765.0,107.45652173913044,15.7,77.10000000000002,79.15217391304348,16.2,67.2,42.45
68.5,37.75,32.1,17.53,175.5,30.635,267.5,9.73,31.5,55.0,154.5,52.1,23.6,38.6,268.5,453.0,33.15,64.2125,46.35,27.45,27.15,319.8076923076923,23.391269841269846,51.29999999999999,10.146875,46.29347826086956,14.800000000000002,20.65,23.75761154855643,80.65,48.0,39.05,34.3,101.5,87.56666666666666,56.35,58.39999999999999,26.9,103.25,16.8,65.6,23.299264705882354,49.23333333333333,17.05,16.221511627906974,33.22727272727273,24.732416267942586,324.0,176.0,34.230000000000004,10.45,26.35,9.29,10.55,8.93,27.55,68.80833333333332,195.24193548387098,23.65625,68.385,104.86363636363636,29.35140845070423,218.35416666666663,15.3,38.284375,90.3,184.0,37.05,76.65,10.599999999999998,97.6,52.9,43.67857142857143,305.5,20.55,112.5,220.83333333333331,81.9,277.0,51.0,49.1,42.25,38.642857142857146,52.30566037735849,76.2,65.4,69.4,31.84583333333333,26.490243902439023,76.51538461538463,460.5,295.0,39.2,15.65,194.0,39.6,87.90000000000002,51.11666666666667,144.53773584905662,85.65,332.8636363636364,79.8,237.0,79.91749999999998,17.55867158671587,95.2,496.0294117647058,279.8333333333333,157.0,18.254166666666666,17.7,50.93333333333334,46.45,10.685380116959063,19.05,15.55227272727273,24.027777777777782,12.95,13.044642857142858,20.55454545454546,18.604545454545452,240.25,2765.0,108.0,15.65684410646388,77.0,79.06363636363636,16.2,67.2,42.52214285714285
68.5,37.55,32.15,17.6,175.5,30.7,270.0,9.73,31.5,55.1,154.5,52.8,23.6,38.7,268.40625,455.0,33.15,63.7,46.34117647058822,27.441666666666666,27.15,320.2,23.234193548387093,51.1,10.1475,46.2,14.800000000000002,20.65,23.76905241935484,80.86666666666666,48.0,39.05,34.333333333333336,101.0909090909091,87.6,56.4,58.31666666666666,26.899999999999995,103.5,16.8,65.6,23.342307692307692,49.4,17.098387096774193,16.25,33.176470588235304,24.72707317073171,324.0,177.0,34.25,10.45,26.35,9.29694610778443,10.5,8.924074074074074,27.570000000000004,68.52499999999999,194.625,23.667647058823533,68.4304347826087,104.9090909090909,29.30695652173913,218.3181818181818,15.3,38.4280701754386,90.0338028169014,185.0,37.15,76.87692307692308,10.6,97.6857142857143,52.89999999999999,43.7,305.5,20.527272727272727,113.0,220.5,81.8,277.0,51.1,49.05,42.29230769230769,38.6,52.2,76.3,65.35,69.4,31.85,26.5,76.6,460.5,295.25,39.2,15.65078125,194.0,39.6,87.90000000000002,51.2,144.91666666666666,85.68571428571431,332.9444444444445,79.7333333333333,236.875,79.86999999999998,17.570689655172416,95.2875,496.25,279.8333333333333,157.17741935483872,18.25,17.7,50.89999999999999,46.4125,10.670058139534888,19.045192307692307,15.55,24.0,12.95,13.004411764705882,20.58333333333333,18.65,240.5,2756.4285714285716,107.45652173913044,15.65126582278481,77.0,79.05217391304348,16.2,67.18823529411763,42.4859375
68.5,37.75,32.1,17.53,175.5,30.7,267.5,9.73,31.5,55.0,154.5,52.1,23.6,38.6,268.7837837837838,454.5,33.15,64.0,46.3,27.45,27.15,321.225,23.30454545454545,51.29999999999999,10.15,46.25,14.8,20.625581395348835,23.907027724049,80.65,48.0,39.05,34.3,101.0,87.7,56.4125,58.31176470588235,26.845394736842106,103.25,16.8,65.6,23.302941176470586,49.23333333333333,17.05121951219512,16.253293413173655,33.15208333333333,24.674494949494942,324.0,176.0,34.275,10.440686274509805,26.35,9.312365384615383,10.55,8.907142857142857,27.55,68.8,194.54166666666663,23.694444444444446,68.41818181818182,105.22844827586206,29.330882352941174,217.92741935483872,15.25,38.282692307692315,89.925,185.0,37.05,76.57272727272726,10.6,97.63333333333333,52.9,43.7,306.0,20.5375,113.16666666666669,220.83333333333331,81.9,277.0,51.0,49.025,42.26041666666666,38.6,52.36666666666667,76.3,65.4,69.4,31.842857142857145,26.5,76.58800000000001,460.5,295.0,39.195,15.65,194.2,39.60485436893204,87.9,51.1684210526316,144.90384615384616,85.6,333.0,79.49333333333334,237.0,79.79310344827586,17.593436293436294,95.2,496.6521739130435,279.8529411764706,157.40243902439025,18.254166666666666,17.75,50.88125,46.40416666666666,10.666666666666666,19.029047619047613,15.55,24.013636363636362,12.9625,13.0,20.55,18.6,240.25,2753.888888888889,108.0,15.603915662650602,77.0,79.1,16.174999999999994,67.05714285714285,42.31136363636364
