stock1,stock2,model_type,w1,w2,pval,snr,zcr,mu,stdev,skewness,Emu
1303,2301,model3,-0.2576700867431289,0.7423299132568711,0.28770287049129856,0.4426363006701764,0.10873333333333332,1.6450398648844209,0.0006928463522167831,0.6269779451302407,1.6450262155948792
1303,2454,model3,-0.4482940847986177,0.5517059152013822,0.4909145785638864,0.5165674435528581,0.18711999999999976,1.5511667551268515,0.0007717975907819018,-0.23618822042953455,1.5511113713515055
1303,2882,model3,-0.13979212807319685,0.860207871926803,0.20430651620681456,0.8124104278755115,0.13619999999999982,2.7017421473034062,0.0003946772683828293,-0.7567012142090492,2.7017221203828408
1303,2884,model3,0.4163560419013634,0.5836439580986367,0.20638294233614388,0.5827601701598955,0.14402666666666655,3.4625279960497264,0.0009294461232864643,-0.11876449449927436,3.462557569919742
1303,1722,model3,-0.3222432374275582,0.6777567625724418,0.3003355116745882,1.4644432751243397,0.2479733333333333,1.3660438330062197,0.0006913750113913692,-0.04020701213333562,1.3660068958940372
1303,2049,model3,-0.303137350663085,0.696862649336915,0.2587868424594593,0.4521741685801766,0.09110666666666672,2.6240433342456106,0.0009123258544495217,-0.08874753494822274,2.624010559147756
1303,2392,model3,-0.2376525910565043,0.7623474089434957,0.16612084875358535,0.3465836102320376,0.07927999999999995,2.08216779683204,0.0010456406249047226,0.06917981321476267,2.0822042381056827
1303,3231,model3,-0.405312816025202,0.5946871839747979,0.4521919215606402,0.35400147331084914,0.09332000000000004,0.31496367133710124,0.0009154239774853329,0.25006329045837905,0.31483393587093417
1216,2002,model3,-0.1562567567154076,0.8437432432845924,0.08513477445305997,0.9436244494131246,0.15498666666666666,2.1508680734637937,0.0008736858592816265,0.04389624458081239,2.1508660493642355
1216,2474,model3,-0.6719212845095844,0.3280787154904156,0.07122516609824757,0.2373209502941588,0.12236,-0.8003493964920417,0.0015348120700017498,0.07181105139025917,-0.8006568036532679
1216,2882,model3,-0.10741178698900553,0.8925882130109944,0.037547330385234695,0.4366974813478965,0.1346933333333334,2.985797090468986,0.0005416819393511002,-0.8495646762529891,2.985720054150493
1216,2892,model3,-0.2972895839258141,0.7027104160741859,0.12932427395716312,0.5642953801790558,0.29381333333333315,0.87863310794514,0.0010957986321723568,-0.09003837592476757,0.8784906240015351
1216,3481,model1,0.41222035739060336,-0.5877796426093965,0.8159848911026865,0.5103578353492998,0.13283999999999996,-0.00016048860521480058,0.0011877638064766221,-0.5871962249821633,0.0004529495586732793
1216,1314,model3,-0.3324073314738185,0.6675926685261816,0.04051850002226802,1.4520882753506417,0.18600000000000005,0.3678435322451517,0.0011124266395596864,-0.3555872593377311,0.3678522765557857
1216,2231,model3,0.3886797434390774,0.6113202565609225,0.046664995057107465,0.23820795604834,0.08573333333333336,5.074135937517117,0.0022058821603853536,-0.2512263541924428,5.074451269540265
1216,2352,model3,-0.3822210811434219,0.6177789188565782,0.05597515546985962,0.8989335574764665,0.2201333333333333,0.15405028713934896,0.0014076178025590124,0.7267904924426677,0.1539390414592614
1216,2392,model3,-0.16778060589089733,0.8322193941091027,0.03242964830354345,0.26247367895080603,0.059466666666666876,2.6950479282931017,0.0012641684786508125,0.015304552829258347,2.695026192374745
1216,3034,model3,-0.6124995108974168,0.3875004891025832,0.09534651474562432,0.3557768516653649,0.14294666666666672,-0.4131021396251057,0.0014826817379369893,-0.7075696186810785,-0.4133007535446101
1216,6239,model3,-0.3469587461643521,0.6530412538356478,0.09101057790307586,0.4264753666599886,0.0815866666666667,1.2228632871057228,0.0011976720862373193,-0.19954892973258945,1.2229148428324872
2002,2409,model3,-0.8512002343308954,0.14879976566910455,0.07444198830363848,0.6438773369352386,0.12873333333333345,-2.3589934407589728,0.0009697387878396631,0.3892566018722359,-2.35892819178642
2002,2454,model3,-0.8388568152846921,0.16114318471530786,0.3600607726627608,0.8492919740784869,0.16415999999999986,-1.7508938634844309,0.0008494370799579777,0.333034810343992,-1.7509695174469637
2002,2498,model3,-0.7422749601555731,0.25772503984442685,0.033181036294673234,0.9541418137242198,0.19574666666666649,-1.1304356524299992,0.0008342066980438742,-0.01845834904391213,-1.1305169390510852
2002,2882,model1,0.5380486714806039,-0.46195132851939597,0.8145911611547308,1.5103646280051035,0.28476,-4.051473709694609e-05,0.0005219986427931576,0.04435939744906176,3.547933854870309e-05
2002,2892,model3,-0.6491147311352254,0.3508852688647746,0.15634634324876334,0.9612871926518702,0.24230666666666656,-1.1047087597922265,0.0007824122223833946,0.8172480338196302,-1.1047947964403524
2002,4904,model2,-0.5092029547247501,-0.49079704527525,0.2517047700567233,1.2276924607106043,0.19069333333333327,-3.799151842778273,0.0005708808645010768,0.4021943905044797,-3.7991574369156114
2002,1710,model1,0.5066884866346897,-0.4933115133653103,0.7349776982749886,3.3425010765705774,0.3158133333333337,4.099429363844109e-06,0.0005276148047821739,0.5836499033862758,1.7251060824272257e-06
2002,2542,model3,-0.9343915333894612,-0.0656084666105387,0.010826218538614651,0.6354941542350104,0.0992533333333333,-3.337764889690616,0.001028060738973719,0.15262932673767027,-3.3377018936391947
2002,3231,model3,-0.7852992851279207,0.2147007148720793,0.3259365181783093,0.8045430842103654,0.15581333333333344,-1.850350635540977,0.000843736076631901,0.6022242998968248,-1.8503693858482588
1101,2002,model3,-0.23340370744777755,0.7665962925522224,0.7534860575556228,0.9497644929677448,0.36767999999999984,1.638528607523781,0.0007757256449594088,-0.6518963594915946,1.6385817430514216
