stock1,stock2,model_type,w1,w2,pval,snr,zcr,mu,stdev,skewness,profit_without_cost,profit_tax1,profit_tax2,open number,return,std1,skew1,timetrend,pos,int_w1,int_w2,done,StrategyOpenTime,StrategyCloseTime
1402,2618,model3,-0.6562559332239235,0.34374406677607644,0.011018417257844188,0.6482358493387336,0.12154666666666672,-1.1264008817065903,0.00135168404194462,-0.3358246966182968,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
1402,2834,model3,-0.42800488345546467,0.5719951165445352,0.04023044910503958,0.7671557582333165,0.1262666666666667,-0.1477807155012125,0.0008448085192558075,0.008877485593062364,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
1216,2303,model3,0.7502241835516261,0.24977581644837393,0.028543546389635348,0.3951279854564394,0.09852000000000011,3.6820265458093924,0.0010375047402037597,-0.1786292104296801,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
1216,2308,model3,0.4049447244285259,0.5950552755714741,0.009684950898708163,0.2602072832728753,0.055946666666666624,4.600524236569755,0.0015270525456920355,0.18782981351196437,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
1216,2891,model3,0.5926558233965068,0.40734417660349326,0.04789658529668755,0.42789011428411633,0.07664000000000008,3.5640054953848592,0.0011059861684133,0.864648815073708,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
1216,2892,model3,0.16933513682116938,0.8306648631788306,0.009370811965331405,0.5421309076538003,0.13726666666666665,2.991900581749826,0.0012725352921640256,-0.18099407903831924,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
1216,5880,model3,0.15465680142719307,0.845343198572807,0.008820001527033489,0.43947981751459153,0.0882666666666666,2.8383709192144533,0.0017861475594622973,0.45470631738895373,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
1216,1590,model3,0.403030282643058,0.5969697173569419,0.008416985134328028,0.2349723732231894,0.047799999999999974,4.830115979211989,0.0015665373408569726,0.49230956944848975,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
1216,2618,model3,0.6922929287570107,0.30770707124298935,0.016207153340410493,0.21521136616830816,0.05996000000000001,3.6534773369768434,0.0014478747021850437,0.5004901941466368,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
1216,2809,model3,-0.6124159108318462,0.38758408916815373,0.025130824906139406,0.8945660265974194,0.18523999999999977,-1.3409035525979396,0.0013803062873742845,-1.1454010538893205,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
1216,2834,model3,0.51244591192324,0.48755408807676004,0.00877779214946926,0.29796417093018623,0.08069333333333346,3.1073043795295168,0.0009907948469617507,0.07659453733831244,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
1216,3702,model3,0.40048090886022286,0.5995190911397771,0.024247459134906998,0.4402798584180301,0.06780000000000014,3.7457688904318993,0.000874806803697252,0.2138001678672844,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
1301,2105,model3,-0.7607171907850809,0.23928280921491904,0.218819615617472,0.5073321119848918,0.18542666666666677,-2.302820634228408,0.0006087955709542264,-0.8915285759081177,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
1301,2308,model3,-0.6318788703719277,0.36812112962807236,0.1732507805058487,0.913212409634136,0.16443999999999995,-0.925108412273529,0.0007007808488624485,0.1878331590615789,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
1301,2324,model3,-0.8102318728701889,0.1897681271298111,0.0765902890958165,0.40566814554291447,0.09145333333333323,-2.9769070193761666,0.0007312112151086406,-0.731555758410213,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
1301,2884,model3,-0.5092707718961029,0.49072922810389713,0.09874900552902878,0.7445252646637961,0.23271999999999993,-0.8222324332670145,0.0008182930461990035,-0.2031622829497338,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
1301,2891,model3,-0.614598192498228,0.38540180750177194,0.17652676526962296,0.7655291337566578,0.16989333333333315,-1.5955327204700027,0.0006972203050842703,0.12364787974616609,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
1301,1536,model3,-0.9146782418593595,0.08532175814064052,0.3305937666369155,0.4303611815346131,0.050800000000000005,-3.551236581633921,0.0007665272840829107,-0.8202286416579458,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
1301,2313,model3,-0.7798429717277495,0.2201570282722504,0.06264422478561975,0.3019815702680037,0.0706666666666667,-2.7879565872693184,0.0009703825918140471,-0.21393123979941786,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
1301,2809,model3,0.5985522682106793,0.4014477317893207,0.15843670222488748,0.8133788633357977,0.15044,3.810615749891188,0.001297239426044219,-0.07508548966835671,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
1301,2834,model3,-0.48809258346808865,0.5119074165319113,0.07167868746699299,0.7244316785294647,0.19930666666666644,-1.0626068657948176,0.0005693128401070994,-0.6514265407220184,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
1301,3702,model3,-0.47835578598344913,0.5216442140165509,0.17306247319676707,1.0558771562797529,0.15643999999999986,-0.24659940936618918,0.000527950291104008,0.06908120449211011,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
2002,2454,model3,-0.9656519877415383,0.03434801225846181,0.05996687071012807,0.29857943486646543,0.09690666666666678,-2.703999836313788,0.0014025760062324345,-0.015490871320718158,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
