stock1,stock2,model_type,w1,w2,pval,snr,zcr,mu,stdev,skewness
1101,2633,model3,-0.6195484715560962,0.3804515284439039,0.1129205686878356,0.7064078622424148,0.0960800000000001,-0.9603589247309232,0.0006572212640057734,0.042301770846895126
1326,2454,model1,0.5520633761230058,-0.4479366238769942,0.8665471184133434,0.42867891211003617,0.10078666666666673,3.104245034255844e-05,0.0007697960656417842,-0.2403918129629422
1301,2301,model3,-0.3663312302089896,0.6336687697910104,0.2180043304255414,0.7176930080598268,0.10166666666666677,0.7204171133652875,0.0003722855319950637,-0.16283991580969323
1301,2382,model3,0.6689360121021657,0.33106398789783426,0.06913161216248932,0.055789520594111346,0.06670666666666648,4.445662028736656,0.0014425900216709846,-1.3454823757421388
1301,2633,model3,-0.4714907125910186,0.5285092874089815,0.24170548321358667,0.2044023991999251,0.039359999999999985,-0.4208384342624646,0.0009976860881970463,0.3399086075919645
1301,2823,model2,0.17894935795483322,-0.8210506420451669,0.8422817666482404,1.3561126885356445,0.24836000000000036,-2.0623183361282464,0.00043595719974368747,0.12496638873920017
1301,2885,model1,0.3606846684404077,-0.6393153315595922,0.9222962093742237,1.0534689308345222,0.22141333333333313,-6.413971456054491e-05,0.0011100287785301758,-0.5709143571908025
1301,2891,model3,-0.10549386557469462,0.8945061344253055,0.1843402525273234,0.8210447941442541,0.1814399999999997,2.1800092831741282,0.0006399522315106112,-0.10122524218454176
1301,2892,model3,0.251889234449324,0.748110765550676,0.11985126100727267,0.3818433637384908,0.12771999999999997,3.3660020651322733,0.0010025698257106147,-0.754654541077619
1301,5880,model3,0.47321916016440335,0.5267808398355966,0.24416350560090685,0.6105051042480569,0.22634666666666672,3.606227379449289,0.0008126640899923176,-0.8028732146678857
1301,1314,model3,0.20188436080028546,0.7981156391997145,0.13778894238674075,0.5660912597914792,0.043959999999999985,2.9594668432529634,0.0014996570068229978,0.19708073117869127
1301,2103,model3,-0.7000164654045242,0.2999835345954758,0.218105555767282,0.12618014921162143,0.05679999999999999,-2.1434065584013524,0.0008298244758489273,1.4517687564505746
1301,2327,model2,0.6273982399170885,0.3726017600829114,0.6780059366826651,0.6436461109204277,0.19229333333333315,4.78420469410188,0.0008876326374822106,0.17773760044617287
1301,2356,model3,-0.5021476113336856,0.49785238866631437,0.2524619133475447,0.39916797364133766,0.11908,-0.7023640163792442,0.0006787938515486695,0.6768588943826754
1301,3673,model3,-0.6517704778268618,0.3482295221731382,0.1500439938060603,0.08187864686754197,0.042893333333333374,-1.2655186219430976,0.0019426243208261168,0.6171610950249604
1301,5264,model3,-0.6331460042172788,0.36685399578272126,0.19394303320387057,0.30795129532811594,0.044066666666666726,-1.1766890085760533,0.0012668899940204072,0.023176788500542313
1301,6176,model3,-0.2782472336965986,0.7217527663034013,0.18846981726033812,0.5176345430569242,0.14599999999999994,1.867257815306089,0.0008845451666378817,0.17748435463812454
1303,2303,model3,-0.41586142798554204,0.5841385720144578,0.0602312690892626,0.15055866886365735,0.03879999999999987,-0.2182502371339554,0.0014258727894640418,0.7781066492192317
1303,2330,model3,-0.42584082509279464,0.5741591749072054,0.2688379487553522,0.5676078319886895,0.15450666666666676,1.2429374470367611,0.0004803729449357286,0.16033183623806743
1303,2454,model3,-0.2865051811540625,0.7134948188459375,0.03449585105221701,0.21693181281480073,0.07112000000000003,2.7561346772134248,0.0013321306664823781,-0.16277886260851873
1303,1314,model3,0.19571844261015897,0.804281557389841,0.08052188623526567,0.5593450282969431,0.10815999999999996,2.904846589405451,0.0014773074005439354,0.06174212636249449
1102,1301,model1,0.5786273467483064,-0.42137265325169354,0.8908215579406898,0.4846068233137314,0.0844666666666667,4.6935131955507065e-05,0.0007425029547792866,-0.22015661427151526
1102,2301,model3,-0.6932760914689805,0.3067239085310194,0.09504423455429416,0.803593973167569,0.12675999999999998,-1.1399833421774934,0.0007053350610973878,-0.6995644233688267
1102,2308,model3,-0.8805567532973475,0.11944324670265248,0.028178963897575078,0.6201497441832621,0.18227999999999997,-2.3068555731009286,0.000907211378482024,-0.7634405146371023
1102,2330,model3,-0.7882027091576845,0.21179729084231547,0.11766303327638528,0.6191497729082315,0.11651999999999996,-1.4703620979378418,0.0008225496988955741,-0.8144206089824421
1102,2408,model3,-0.8271491694078075,0.1728508305921925,0.019557472354718025,0.6071382063566624,0.04825333333333336,-2.018200625203899,0.0009023718921106023,-0.6241465496960698
1102,2474,model3,-0.842515152888197,0.15748484711180297,0.22290850763360096,2.265496942732106,0.3131066666666665,-1.851089720202865,0.0006968317934794998,-0.318394528546515
1102,2633,model3,-0.7245323396433144,0.27546766035668563,0.041095422389434075,3.027016097656187,0.3034133333333334,-1.5004996710507874,0.0006135501127362316,-0.020270392662022806
1102,3481,model3,-0.7198977344337943,0.2801022655662056,0.06470415454535033,3.252849980997413,0.35168000000000005,-1.6326075429191558,0.0006367841128728762,-0.12402429917360584
1102,4938,model3,-0.6479135414279461,0.35208645857205395,0.0061340220175431295,0.6626968979909519,0.13841333333333333,-0.5461491469775756,0.000685402806802608,-0.3807396223005252
1102,1314,model1,0.4359805129199648,-0.5640194870800351,0.8322050685664063,0.8197614331745383,0.16833333333333328,-3.0404880875822827e-06,0.0010545306910928634,0.008579611534207505
1102,1319,model3,-0.8017505432564048,0.19824945674359518,0.013590764243024897,0.6758066428418188,0.12674666666666665,-1.8553802425333887,0.0008522976524058118,-0.20406448652242035
1102,2379,model3,0.9081018584204106,0.09189814157958943,0.022165064867499938,2.904814658098627,0.2901733333333333,3.437861076535881,0.0006983930286089128,0.4927810915817663
1102,6456,model3,-0.885226721780004,0.11477327821999604,0.06839491619576055,1.5867598715822795,0.28335999999999995,-2.255847144120635,0.0007633321547597094,-0.6025435382036707
