stock1,stock2,open,loss,reward,open_num
1326,2355,[1.95],[3.3],8.199999999999818,[1]
1102,1303,[2.6],[4.65],3.8999999999999773,[1]
1102,2412,[2.45],[3.75],16.5,[1]
1102,2883,[2.1],[4.2],0.7499999999999538,[1]
1102,2344,[2.1],[4.2],2.3999999999999986,[1]
1303,1402,[2.5],[3.9],0.950000000000017,[1]
1303,2330,[1.45],[3.6],3.2999999999999545,[1]
1303,2412,[2.9],[4.65],20.5,[1]
1303,2801,[1.55],[4.2],2.0999999999999943,[1]
1303,2883,[2.],[3.9],0.7999999999999972,[1]
1303,6505,[2.5],[4.65],3.900000000000091,[1]
1303,1536,[1.6],[3.6],5.900000000000091,[1]
1303,2344,[1.6],[3.6],2.3000000000000256,[1]
1303,3231,[1.7],[3.6],2.5,[1]
1101,2408,[1.6],[3.6],3.8999999999998636,[1]
1101,2412,[0.55],[3.15],3.4500000000000455,[1]
1101,2881,[1.4],[4.05],4.899999999999864,[1]
1101,2883,[1.45],[4.5],1.3500000000000085,[1]
1101,2887,[1.7],[3.6],3.1000000000000227,[1]
1101,2542,[2.7],[4.8],6.5000000000001705,[1]
1101,3231,[1.75],[4.95],5.400000000000091,[1]
1402,2354,[1.85],[3.3],0.4000000000000057,[1]
1402,2357,[0.9],[2.1],3.0,[1]
1402,2408,[2.55],[4.95],1.0999999999999943,[1]
1402,2801,[2.2],[3.75],1.950000000000017,[1]
1402,2881,[1.15],[2.7],2.8000000000000114,[1]
1402,2883,[1.05],[4.8],0.9500000000000028,[1]
1402,2884,[2.4],[3.9],0.4000000000000057,[1]
1402,2886,[2.1],[3.3],1.849999999999966,[1]
1402,2887,[1.4],[2.55],0.549999999999983,[1]
1402,6505,[2.3],[4.5],4.5,[1]
1402,9904,[1.9],[3.45],1.3999999999999986,[1]
1402,1536,[0.5],[3.3],0.5,[1]
1402,2344,[0.9],[2.4],1.3000000000000114,[1]
1402,2377,[2.25],[3.9],5.300000000000011,[1]
1402,2448,[2.],[3.9],0.8499999999999979,[1]
1402,2542,[1.75],[4.95],1.8999999999999773,[1]
1402,2603,[1.6],[3.6],1.8500000000000227,[1]
1402,3231,[1.5],[4.05],2.9499999999999886,[1]
1402,6285,[1.9],[3.45],0.5500000000000256,[1]
2105,2412,[1.6],[3.6],7.5,[1]
2105,2887,[1.3],[2.4],2.299999999999997,[1]
2105,2890,[1.75],[4.95],0.6000000000000227,[1]
2105,2201,[2.],[3.9],0.7999999999999687,[1]
2105,2344,[2.45],[3.75],2.700000000000003,[1]
2308,2454,[2.95],[4.8],0.0,[1]
2308,1536,[1.6],[3.6],34.0,[1]
2308,2344,[1.7],[3.9],2.0,[1]
2308,3231,[2.7],[4.2],1.5,[1]
2354,2408,[2.9],[4.65],8.900000000000091,[1]
2354,2412,[1.6],[3.6],9.200000000000003,[1]
2354,2454,[1.65],[2.85],24.5,[1]
2354,2881,[0.5],[3.3],4.5,[1]
2354,2887,[2.35],[3.75],2.450000000000017,[1]
2354,2890,[1.6],[3.6],0.29999999999999716,[1]
2354,3008,[2.9],[4.65],38.0,[1]
2354,9904,[1.15],[2.4],5.149999999999977,[1]
2354,1536,[1.35],[3.3],19.5,[1]
2354,2344,[2.6],[4.65],2.1000000000000085,[1]
2354,2448,[1.55],[3.6],5.100000000000023,[1]
2354,2603,[0.65],[3.],1.0999999999999943,[1]
2354,3189,[1.75],[4.95],7.499999999999886,[1]
2354,3231,[1.4],[2.85],1.2999999999999972,[1]
2354,3702,[1.25],[2.7],3.3499999999999943,[1]
2354,6285,[2.35],[3.75],18.5,[1]
2354,9910,[0.85],[1.8],0.5,[1]
2330,2454,[2.95],[4.8],0.0,[1]
2330,2884,[1.3],[3.15],1.8000000000000114,[1]
2330,2355,[2.2],[3.75],17.5,[1]
2330,2603,[2.4],[3.9],1.5999999999999943,[1]
2330,3231,[2.1],[4.2],1.5,[1]
2357,2454,[1.85],[4.35],28.0,[1]
2357,2884,[2.45],[3.75],3.5,[1]
2357,2344,[2.1],[4.2],3.0,[1]
2357,2353,[2.55],[4.95],5.0,[1]
2357,2355,[1.25],[1.95],9.399999999999864,[1]
2357,3231,[1.6],[3.6],3.5,[1]
2412,2454,[2.5],[4.2],3.0,[1]
2412,2881,[1.5],[2.7],7.75,[1]
2412,2883,[1.65],[2.85],2.4499999999999886,[1]
2412,2884,[2.2],[3.75],1.0,[1]
2412,9904,[2.9],[4.65],21.5,[1]
2412,1536,[0.5],[3.3],10.0,[1]
2412,2344,[1.75],[4.95],3.0,[1]
2412,2448,[1.7],[3.6],9.200000000000045,[1]
2412,3189,[1.6],[3.6],20.800000000000068,[1]
2412,3702,[2.35],[3.75],1.0,[1]
2412,6285,[1.4],[4.05],15.300000000000182,[1]
2408,2412,[2.],[3.9],20.950000000000045,[1]
2408,2890,[1.1],[2.55],0.3500000000000014,[1]
2408,9904,[2.9],[4.65],4.150000000000091,[1]
2408,1536,[1.85],[4.35],4.0,[1]
2408,3231,[2.5],[4.2],0.9500000000000028,[1]
2408,3702,[2.9],[4.65],6.60000000000008,[1]
2454,2801,[0.5],[3.3],1.0,[1]
2454,2881,[0.5],[3.3],11.0,[1]
2454,2884,[2.75],[4.2],3.0,[1]
2454,2890,[1.75],[4.95],2.5,[1]
2454,2891,[2.75],[4.95],4.0,[1]
2454,9904,[0.5],[3.3],2.599999999999909,[1]
2454,1536,[2.45],[4.8],8.5,[1]
2454,2344,[2.45],[4.8],3.5,[1]
2454,2371,[1.6],[3.6],0.7599999999999909,[1]
2454,2603,[2.2],[3.75],1.0999999999999943,[1]
2454,2615,[0.5],[3.3],0.5,[1]
2454,3231,[1.15],[2.85],2.3999999999999773,[1]
2454,6285,[1.15],[1.8],1.799999999999983,[1]
2884,2886,[2.4],[3.9],0.54999999999999,[1]
2884,2887,[1.4],[2.55],1.4500000000000028,[1]
2884,6505,[1.35],[3.3],3.5,[1]
2884,2049,[2.7],[4.65],2.0,[1]
2884,2344,[2.55],[4.95],1.59999999999998,[1]
2884,2542,[1.3],[3.15],0.29999999999999716,[1]
2884,2603,[1.1],[2.55],0.09999999999999432,[1]
2884,3189,[1.3],[2.4],2.0999999999999943,[1]
2884,3231,[0.55],[3.6],1.4500000000000455,[1]
2801,2884,[1.65],[2.85],0.4000000000000057,[1]
2801,2886,[1.95],[3.3],0.5500000000000114,[1]
2801,2887,[1.15],[4.05],0.7000000000000028,[1]
2801,2344,[2.25],[3.9],1.950000000000017,[1]
2801,2371,[2.55],[4.95],0.2500000000000071,[1]
2801,2603,[1.5],[4.05],0.5000000000000071,[1]
2801,3231,[0.95],[3.3],0.14999999999999503,[1]
2883,2884,[0.5],[3.3],0.19999999999998863,[1]
2883,2887,[1.75],[4.95],1.6800000000000068,[1]
2883,1536,[2.2],[3.75],0.2999999999999545,[1]
2883,2344,[1.9],[3.45],2.519999999999996,[1]
2883,2603,[1.6],[3.6],0.15000000000000036,[1]
2883,3231,[2.05],[3.15],0.6099999999999994,[1]
2883,6285,[2.5],[4.95],1.3499999999999943,[1]
2882,2891,[2.3],[4.5],0.75,[1]
2886,2344,[2.55],[4.95],2.9499999999999993,[1]
2886,2371,[1.85],[3.3],1.0300000000000011,[1]
2886,2615,[2.25],[3.9],0.3500000000000014,[1]
2881,2884,[1.2],[1.95],1.1499999999999986,[1]
2881,2049,[2.2],[3.75],20.5,[1]
2881,2344,[2.1],[3.3],0.8999999999999915,[1]
2881,3189,[0.7],[1.95],-1.2000000000000455,[1]
2881,3702,[1.15],[2.7],0.7999999999999972,[1]
2887,6505,[1.75],[4.95],3.0,[1]
2887,9904,[1.7],[3.6],0.25,[1]
2887,2049,[1.1],[1.8],2.0,[1]
2887,2344,[2.35],[3.75],2.5999999999999943,[1]
2887,2353,[0.5],[3.3],1.3999999999999773,[1]
2887,2355,[0.85],[3.15],1.3999999999999773,[1]
2887,2448,[1.75],[4.95],1.2499999999999858,[1]
2887,2542,[1.5],[4.05],1.8499999999999943,[1]
2887,2603,[1.35],[3.3],1.299999999999983,[1]
2887,3189,[2.],[3.9],1.5999999999999943,[1]
2892,2355,[1.85],[4.35],1.6000000000000085,[1]
2892,2603,[2.25],[3.9],2.099999999999966,[1]
3045,2347,[1.05],[2.4],1.0,[1]
2891,2344,[2.45],[3.75],1.2000000000000028,[1]
2891,2355,[0.55],[3.15],0.7999999999999972,[1]
2890,9904,[2.9],[4.65],0.38000000000000256,[1]
2890,2344,[1.45],[3.6],0.9000000000000057,[1]
2890,2353,[0.85],[3.75],0.2500000000000071,[1]
2890,3702,[2.4],[3.9],0.3199999999999861,[1]
9904,1536,[0.6],[1.8],3.5,[1]
9904,2344,[1.9],[3.45],2.1500000000000057,[1]
9904,2353,[1.5],[2.7],2.3999999999999773,[1]
9904,2603,[2.1],[3.3],2.1500000000000057,[1]
9904,3231,[0.5],[3.3],1.150000000000034,[1]
9904,3702,[1.75],[4.95],0.75,[1]
6505,2344,[0.5],[3.3],1.5,[1]
6505,2353,[2.2],[3.75],4.0,[1]
6505,2371,[2.2],[3.75],1.9000000000000057,[1]
6505,3231,[1.9],[3.45],1.5,[1]
1536,2049,[2.25],[4.65],18.5,[1]
1536,2344,[1.95],[4.5],3.0,[1]
1536,2448,[0.55],[1.65],2.5,[1]
1536,3702,[1.65],[2.85],5.0,[1]
2023,6456,[2.45],[3.75],14.099999999999994,[1]
2049,2344,[1.95],[4.5],3.0,[1]
